Disease_pair,Disease_A,Disease_B,RR,Comorbidity_RR=0,Comorbidity_RR=1
coronary_artery_disease & hypotrichosis,coronary_artery_disease,hypotrichosis,0.930891,0,1
bone_diseases & endocrine_system_diseases,bone_diseases,endocrine_system_diseases,0.930758,0,1
bone_diseases & thyroid_diseases,bone_diseases,thyroid_diseases,0.930758,0,1
anemia_hemolytic & dyskinesias,anemia_hemolytic,dyskinesias,0.930695,0,1
arrhythmias_cardiac & charcot_marie_tooth_disease,arrhythmias_cardiac,charcot_marie_tooth_disease,0.930195,0,1
arrhythmias_cardiac & hereditary_sensory_and_motor_neuropathy,arrhythmias_cardiac,hereditary_sensory_and_motor_neuropathy,0.930195,0,1
ankylosis & myeloproliferative_disorders,ankylosis,myeloproliferative_disorders,0.929773,0,1
diabetes_mellitus_type_2 & parkinsonian_disorders,diabetes_mellitus_type_2,parkinsonian_disorders,0.929696,0,1
genital_diseases_male & muscular_dystrophies,genital_diseases_male,muscular_dystrophies,0.929686,0,1
arthritis_rheumatoid & cranial_nerve_diseases,arthritis_rheumatoid,cranial_nerve_diseases,0.929644,0,1
bile_duct_diseases & macular_degeneration,bile_duct_diseases,macular_degeneration,0.92946,0,1
goiter & leukemia_b_cell,goiter,leukemia_b_cell,0.929372,0,1
cardiovascular_diseases & lysosomal_storage_diseases,cardiovascular_diseases,lysosomal_storage_diseases,0.92937,0,1
cranial_nerve_diseases & glomerulonephritis,cranial_nerve_diseases,glomerulonephritis,0.929153,0,1
amyotrophic_lateral_sclerosis & respiratory_tract_diseases,amyotrophic_lateral_sclerosis,respiratory_tract_diseases,0.928876,0,1
motor_neuron_disease & respiratory_tract_diseases,motor_neuron_disease,respiratory_tract_diseases,0.928876,0,1
ankylosis & metabolism_inborn_errors,ankylosis,metabolism_inborn_errors,0.928788,0,1
amyotrophic_lateral_sclerosis & carbohydrate_metabolism_inborn_errors,amyotrophic_lateral_sclerosis,carbohydrate_metabolism_inborn_errors,0.928697,0,1
carbohydrate_metabolism_inborn_errors & motor_neuron_disease,carbohydrate_metabolism_inborn_errors,motor_neuron_disease,0.928697,0,1
blood_coagulation_disorders & parkinsonian_disorders,blood_coagulation_disorders,parkinsonian_disorders,0.928669,0,1
blood_coagulation_disorders_inherited & parkinsonian_disorders,blood_coagulation_disorders_inherited,parkinsonian_disorders,0.928669,0,1
arterial_occlusive_diseases & colorectal_neoplasms,arterial_occlusive_diseases,colorectal_neoplasms,0.928616,0,1
alzheimer_disease & blood_coagulation_disorders,alzheimer_disease,blood_coagulation_disorders,0.928571,0,1
alzheimer_disease & blood_coagulation_disorders_inherited,alzheimer_disease,blood_coagulation_disorders_inherited,0.928571,0,1
hypersensitivity & myocardial_infarction,hypersensitivity,myocardial_infarction,0.927774,0,1
hypersensitivity & myocardial_ischemia,hypersensitivity,myocardial_ischemia,0.927774,0,1
coronary_artery_disease & hypersensitivity,coronary_artery_disease,hypersensitivity,0.92776,0,1
anemia_hemolytic & prostatic_neoplasms,anemia_hemolytic,prostatic_neoplasms,0.927745,0,1
amyotrophic_lateral_sclerosis & arthritis_rheumatoid,amyotrophic_lateral_sclerosis,arthritis_rheumatoid,0.927693,0,1
arthritis_rheumatoid & motor_neuron_disease,arthritis_rheumatoid,motor_neuron_disease,0.927693,0,1
ankylosis & asthma,ankylosis,asthma,0.92762,0,1
intellectual_disability & osteoporosis,intellectual_disability,osteoporosis,0.927491,0,1
basal_ganglia_diseases & cholestasis,basal_ganglia_diseases,cholestasis,0.927207,0,1
aneurysm & precursor_cell_lymphoblastic_leukemia_lymphoma,aneurysm,precursor_cell_lymphoblastic_leukemia_lymphoma,0.926837,0,1
bile_duct_diseases & vascular_diseases,bile_duct_diseases,vascular_diseases,0.926796,0,1
alzheimer_disease & diabetes_mellitus_type_2,alzheimer_disease,diabetes_mellitus_type_2,0.926736,0,1
blood_coagulation_disorders & retinitis_pigmentosa,blood_coagulation_disorders,retinitis_pigmentosa,0.926565,0,1
blood_coagulation_disorders_inherited & retinitis_pigmentosa,blood_coagulation_disorders_inherited,retinitis_pigmentosa,0.926565,0,1
death_sudden & graves_disease,death_sudden,graves_disease,0.926539,0,1
arthritis_rheumatoid & basal_ganglia_diseases,arthritis_rheumatoid,basal_ganglia_diseases,0.926435,0,1
epilepsy & leukemia_lymphocytic_chronic_b_cell,epilepsy,leukemia_lymphocytic_chronic_b_cell,0.926335,0,1
dementia & head_and_neck_neoplasms,dementia,head_and_neck_neoplasms,0.926055,0,1
bone_diseases & colorectal_neoplasms,bone_diseases,colorectal_neoplasms,0.925941,0,1
craniofacial_abnormalities & genital_diseases_female,craniofacial_abnormalities,genital_diseases_female,0.925491,0,1
carcinoma_renal_cell & muscular_diseases,carcinoma_renal_cell,muscular_diseases,0.925468,0,1
genital_diseases_female & hyperthyroidism,genital_diseases_female,hyperthyroidism,0.925002,0,1
anemia_hemolytic & leprosy,anemia_hemolytic,leprosy,0.924731,0,1
cardiomegaly & polyneuropathies,cardiomegaly,polyneuropathies,0.924673,0,1
celiac_disease & leukemia_b_cell,celiac_disease,leukemia_b_cell,0.923956,0,1
leukemia_b_cell & malabsorption_syndromes,leukemia_b_cell,malabsorption_syndromes,0.923956,0,1
alzheimer_disease & varicose_veins,alzheimer_disease,varicose_veins,0.92388,0,1
pancreatic_diseases & spinocerebellar_degenerations,pancreatic_diseases,spinocerebellar_degenerations,0.923812,0,1
dementia & vascular_diseases,dementia,vascular_diseases,0.923379,0,1
colorectal_neoplasms & psoriasis,colorectal_neoplasms,psoriasis,0.922969,0,1
arthritis_rheumatoid & spinocerebellar_degenerations,arthritis_rheumatoid,spinocerebellar_degenerations,0.922933,0,1
ankylosis & goiter,ankylosis,goiter,0.922782,0,1
exophthalmos & liver_cirrhosis,exophthalmos,liver_cirrhosis,0.922434,0,1
exophthalmos & liver_cirrhosis_biliary,exophthalmos,liver_cirrhosis_biliary,0.922434,0,1
breast_neoplasms & spondylitis,breast_neoplasms,spondylitis,0.922399,0,1
epilepsy & neoplasms_connective_and_soft_tissue,epilepsy,neoplasms_connective_and_soft_tissue,0.922369,0,1
dementia & pancreatic_diseases,dementia,pancreatic_diseases,0.922318,0,1
graves_disease & uveitis,graves_disease,uveitis,0.922188,0,1
thyroid_diseases & uveitis,thyroid_diseases,uveitis,0.922188,0,1
alzheimer_disease & celiac_disease,alzheimer_disease,celiac_disease,0.922168,0,1
alzheimer_disease & malabsorption_syndromes,alzheimer_disease,malabsorption_syndromes,0.922168,0,1
breast_diseases & celiac_disease,breast_diseases,celiac_disease,0.922052,0,1
breast_diseases & malabsorption_syndromes,breast_diseases,malabsorption_syndromes,0.922052,0,1
anemia & demyelinating_diseases,anemia,demyelinating_diseases,0.921988,0,1
anemia & multiple_sclerosis,anemia,multiple_sclerosis,0.921988,0,1
precursor_cell_lymphoblastic_leukemia_lymphoma & rheumatic_diseases,precursor_cell_lymphoblastic_leukemia_lymphoma,rheumatic_diseases,0.921968,0,1
epilepsy & lymphoma,epilepsy,lymphoma,0.92196,0,1
carbohydrate_metabolism_inborn_errors & genital_diseases_male,carbohydrate_metabolism_inborn_errors,genital_diseases_male,0.921656,0,1
cardiovascular_diseases & neoplasms_connective_and_soft_tissue,cardiovascular_diseases,neoplasms_connective_and_soft_tissue,0.92164,0,1
colorectal_neoplasms & genital_diseases_male,colorectal_neoplasms,genital_diseases_male,0.921431,0,1
arrhythmias_cardiac & genital_diseases_male,arrhythmias_cardiac,genital_diseases_male,0.921379,0,1
liver_cirrhosis & ovarian_diseases,liver_cirrhosis,ovarian_diseases,0.920928,0,1
liver_cirrhosis_biliary & ovarian_diseases,liver_cirrhosis_biliary,ovarian_diseases,0.920928,0,1
breast_neoplasms & spondylarthropathies,breast_neoplasms,spondylarthropathies,0.920927,0,1
basal_ganglia_diseases & immunologic_deficiency_syndromes,basal_ganglia_diseases,immunologic_deficiency_syndromes,0.920718,0,1
basal_ganglia_diseases & colorectal_neoplasms,basal_ganglia_diseases,colorectal_neoplasms,0.920697,0,1
adrenal_gland_diseases & rheumatic_diseases,adrenal_gland_diseases,rheumatic_diseases,0.920232,0,1
lipid_metabolism_disorders & lymphatic_diseases,lipid_metabolism_disorders,lymphatic_diseases,0.920061,0,1
endocrine_system_diseases & sleep_disorders,endocrine_system_diseases,sleep_disorders,0.919637,0,1
sleep_disorders & thyroid_diseases,sleep_disorders,thyroid_diseases,0.919637,0,1
goiter & uveal_diseases,goiter,uveal_diseases,0.919597,0,1
goiter & malabsorption_syndromes,goiter,malabsorption_syndromes,0.919597,0,1
craniofacial_abnormalities & varicose_veins,craniofacial_abnormalities,varicose_veins,0.919429,0,1
bile_duct_diseases & nervous_system_diseases,bile_duct_diseases,nervous_system_diseases,0.919418,0,1
intestinal_neoplasms & lupus_erythematosus_systemic,intestinal_neoplasms,lupus_erythematosus_systemic,0.919234,0,1
dementia & hypotrichosis,dementia,hypotrichosis,0.919175,0,1
amyotrophic_lateral_sclerosis & hypersensitivity,amyotrophic_lateral_sclerosis,hypersensitivity,0.918616,0,1
hypersensitivity & motor_neuron_disease,hypersensitivity,motor_neuron_disease,0.918616,0,1
malabsorption_syndromes & rheumatic_diseases,malabsorption_syndromes,rheumatic_diseases,0.918501,0,1
mycobacterium_infections & varicose_veins,mycobacterium_infections,varicose_veins,0.918405,0,1
leukemia_b_cell & pancreatic_diseases,leukemia_b_cell,pancreatic_diseases,0.918192,0,1
cholestasis & demyelinating_diseases,cholestasis,demyelinating_diseases,0.918086,0,1
cholestasis & multiple_sclerosis,cholestasis,multiple_sclerosis,0.918086,0,1
arrhythmias_cardiac & rheumatic_diseases,arrhythmias_cardiac,rheumatic_diseases,0.918077,0,1
heart_arrest & neoplasms,heart_arrest,neoplasms,0.91801,0,1
arrhythmias_cardiac & cholestasis,arrhythmias_cardiac,cholestasis,0.917803,0,1
intellectual_disability & lupus_erythematosus_systemic,intellectual_disability,lupus_erythematosus_systemic,0.917736,0,1
lung_diseases_obstructive & uveitis,lung_diseases_obstructive,uveitis,0.917099,0,1
endocrine_system_diseases & uveitis,endocrine_system_diseases,uveitis,0.916845,0,1
ankylosis & arterial_occlusive_diseases,ankylosis,arterial_occlusive_diseases,0.916801,0,1
parkinsonian_disorders & vasculitis,parkinsonian_disorders,vasculitis,0.91667,0,1
abnormalities_multiple & anemia,abnormalities_multiple,anemia,0.916654,0,1
arrhythmias_cardiac & exophthalmos,arrhythmias_cardiac,exophthalmos,0.916319,0,1
diabetes_mellitus_type_1 & lupus_erythematosus_systemic,diabetes_mellitus_type_1,lupus_erythematosus_systemic,0.916221,0,1
liver_cirrhosis & lupus_erythematosus_systemic,liver_cirrhosis,lupus_erythematosus_systemic,0.916221,0,1
cardiomyopathies & spinal_cord_diseases,cardiomyopathies,spinal_cord_diseases,0.916004,0,1
cardiomyopathy_hypertrophic & spinal_cord_diseases,cardiomyopathy_hypertrophic,spinal_cord_diseases,0.916004,0,1
epilepsy & genital_diseases_male,epilepsy,genital_diseases_male,0.915957,0,1
albuminuria & muscular_dystrophies,albuminuria,muscular_dystrophies,0.915813,0,1
muscular_dystrophies & proteinuria,muscular_dystrophies,proteinuria,0.915813,0,1
genital_diseases_female & intellectual_disability,genital_diseases_female,intellectual_disability,0.915752,0,1
arthritis_rheumatoid & genital_diseases_female,arthritis_rheumatoid,genital_diseases_female,0.91575,0,1
colorectal_neoplasms & parkinsonian_disorders,colorectal_neoplasms,parkinsonian_disorders,0.915744,0,1
diabetes_mellitus_type_2 & neoplasms,diabetes_mellitus_type_2,neoplasms,0.915041,0,1
cardiovascular_diseases & glioma,cardiovascular_diseases,glioma,0.914609,0,1
goiter & spondylitis_ankylosing,goiter,spondylitis_ankylosing,0.914513,0,1
alzheimer_disease & bile_duct_diseases,alzheimer_disease,bile_duct_diseases,0.914378,0,1
goiter & intestinal_neoplasms,goiter,intestinal_neoplasms,0.91419,0,1
endocrine_system_diseases & leukemia_lymphocytic_chronic_b_cell,endocrine_system_diseases,leukemia_lymphocytic_chronic_b_cell,0.914162,0,1
bone_diseases & goiter,bone_diseases,goiter,0.913836,0,1
coronary_artery_disease & neoplasms_germ_cell_and_embryonal,coronary_artery_disease,neoplasms_germ_cell_and_embryonal,0.913608,0,1
coronary_disease & neoplasms_germ_cell_and_embryonal,coronary_disease,neoplasms_germ_cell_and_embryonal,0.913608,0,1
neoplasms_germ_cell_and_embryonal & parkinsonian_disorders,neoplasms_germ_cell_and_embryonal,parkinsonian_disorders,0.913608,0,1
diabetes_mellitus_type_2 & lupus_erythematosus_systemic,diabetes_mellitus_type_2,lupus_erythematosus_systemic,0.91348,0,1
asthma & cholestasis,asthma,cholestasis,0.913389,0,1
genital_diseases_male & metabolism_inborn_errors,genital_diseases_male,metabolism_inborn_errors,0.91338,0,1
diabetes_mellitus_type_2 & myeloproliferative_disorders,diabetes_mellitus_type_2,myeloproliferative_disorders,0.913045,0,1
colitis_ulcerative & dementia,colitis_ulcerative,dementia,0.912745,0,1
dementia & purine_pyrimidine_metabolism_inborn_errors,dementia,purine_pyrimidine_metabolism_inborn_errors,0.911909,0,1
alzheimer_disease & colitis_ulcerative,alzheimer_disease,colitis_ulcerative,0.911837,0,1
basal_ganglia_diseases & varicose_veins,basal_ganglia_diseases,varicose_veins,0.911817,0,1
epilepsy & polyneuropathies,epilepsy,polyneuropathies,0.911707,0,1
aneurysm & intestinal_neoplasms,aneurysm,intestinal_neoplasms,0.911423,0,1
aneurysm & joint_diseases,aneurysm,joint_diseases,0.911321,0,1
blood_coagulation_disorders & uveal_diseases,blood_coagulation_disorders,uveal_diseases,0.91117,0,1
blood_coagulation_disorders_inherited & uveal_diseases,blood_coagulation_disorders_inherited,uveal_diseases,0.91117,0,1
carcinoma_renal_cell & intellectual_disability,carcinoma_renal_cell,intellectual_disability,0.911105,0,1
albuminuria & leukemia_myeloid_acute,albuminuria,leukemia_myeloid_acute,0.910994,0,1
glioma & leukemia_myeloid_acute,glioma,leukemia_myeloid_acute,0.910994,0,1
leukemia_myeloid_acute & proteinuria,leukemia_myeloid_acute,proteinuria,0.910994,0,1
hereditary_sensory_and_motor_neuropathy & lipid_metabolism_disorders,hereditary_sensory_and_motor_neuropathy,lipid_metabolism_disorders,0.910961,0,1
charcot_marie_tooth_disease & lipid_metabolism_disorders,charcot_marie_tooth_disease,lipid_metabolism_disorders,0.910961,0,1
epilepsy & myocardial_infarction,epilepsy,myocardial_infarction,0.910908,0,1
epilepsy & myocardial_ischemia,epilepsy,myocardial_ischemia,0.910908,0,1
coronary_artery_disease & epilepsy,coronary_artery_disease,epilepsy,0.910893,0,1
genital_diseases_male & hypotrichosis,genital_diseases_male,hypotrichosis,0.910486,0,1
carcinoma_renal_cell & esophageal_diseases,carcinoma_renal_cell,esophageal_diseases,0.910351,0,1
arrhythmias_cardiac & dwarfism,arrhythmias_cardiac,dwarfism,0.910343,0,1
arthritis & neoplasms_germ_cell_and_embryonal,arthritis,neoplasms_germ_cell_and_embryonal,0.91018,0,1
arthritis & ovarian_neoplasms,arthritis,ovarian_neoplasms,0.91018,0,1
bile_duct_diseases & cardiomyopathies,bile_duct_diseases,cardiomyopathies,0.91014,0,1
bile_duct_diseases & cardiomyopathy_hypertrophic,bile_duct_diseases,cardiomyopathy_hypertrophic,0.91014,0,1
death_sudden & prostatic_neoplasms,death_sudden,prostatic_neoplasms,0.909532,0,1
bone_diseases & sleep_disorders,bone_diseases,sleep_disorders,0.909475,0,1
basal_ganglia_diseases & prostatic_neoplasms,basal_ganglia_diseases,prostatic_neoplasms,0.909268,0,1
bile_duct_diseases & heart_defects_congenital,bile_duct_diseases,heart_defects_congenital,0.908992,0,1
cardiomegaly & immunologic_deficiency_syndromes,cardiomegaly,immunologic_deficiency_syndromes,0.908043,0,1
cholestasis & heart_defects_congenital,cholestasis,heart_defects_congenital,0.908008,0,1
neoplasms_germ_cell_and_embryonal & polyneuropathies,neoplasms_germ_cell_and_embryonal,polyneuropathies,0.907967,0,1
ovarian_neoplasms & polyneuropathies,ovarian_neoplasms,polyneuropathies,0.907967,0,1
cerebellar_ataxia & heart_defects_congenital,cerebellar_ataxia,heart_defects_congenital,0.907927,0,1
arterial_occlusive_diseases & crohn_disease,arterial_occlusive_diseases,crohn_disease,0.907799,0,1
dyssomnias & heart_arrest,dyssomnias,heart_arrest,0.907548,0,1
heart_arrest & polyneuropathies,heart_arrest,polyneuropathies,0.907548,0,1
graves_disease & leukemia_myeloid_acute,graves_disease,leukemia_myeloid_acute,0.907531,0,1
adrenal_gland_diseases & disorders_of_sex_development,adrenal_gland_diseases,disorders_of_sex_development,0.90698,0,1
neoplasms & nervous_system_diseases,neoplasms,nervous_system_diseases,0.906856,0,1
leukemia_lymphocytic_chronic_b_cell & spinocerebellar_ataxias,leukemia_lymphocytic_chronic_b_cell,spinocerebellar_ataxias,0.906814,0,1
arterial_occlusive_diseases & leukemia_lymphocytic_chronic_b_cell,arterial_occlusive_diseases,leukemia_lymphocytic_chronic_b_cell,0.906814,0,1
arthritis & parkinsonian_disorders,arthritis,parkinsonian_disorders,0.906773,0,1
cranial_nerve_diseases & hyperthyroidism,cranial_nerve_diseases,hyperthyroidism,0.906571,0,1
demyelinating_diseases & leukemia_myeloid_acute,demyelinating_diseases,leukemia_myeloid_acute,0.906524,0,1
leukemia_myeloid_acute & multiple_sclerosis,leukemia_myeloid_acute,multiple_sclerosis,0.906524,0,1
leukemia_myeloid_acute & prostatic_neoplasms,leukemia_myeloid_acute,prostatic_neoplasms,0.906367,0,1
aneurysm & leukemia,aneurysm,leukemia,0.906303,0,1
colitis_ulcerative & myocardial_infarction,colitis_ulcerative,myocardial_infarction,0.906284,0,1
colitis_ulcerative & myocardial_ischemia,colitis_ulcerative,myocardial_ischemia,0.906284,0,1
colitis_ulcerative & coronary_artery_disease,colitis_ulcerative,coronary_artery_disease,0.90627,0,1
graves_disease & stomatognathic_diseases,graves_disease,stomatognathic_diseases,0.906242,0,1
endocrine_system_diseases & motor_neuron_disease,endocrine_system_diseases,motor_neuron_disease,0.906223,0,1
amyotrophic_lateral_sclerosis & endocrine_system_diseases,amyotrophic_lateral_sclerosis,endocrine_system_diseases,0.906223,0,1
amyotrophic_lateral_sclerosis & thyroid_diseases,amyotrophic_lateral_sclerosis,thyroid_diseases,0.906223,0,1
motor_neuron_disease & thyroid_diseases,motor_neuron_disease,thyroid_diseases,0.906223,0,1
anemia_hemolytic & genital_diseases_male,anemia_hemolytic,genital_diseases_male,0.90592,0,1
graves_disease & lymphoma,graves_disease,lymphoma,0.90575,0,1
lymphoma & thyroid_diseases,lymphoma,thyroid_diseases,0.90575,0,1
leukemia_b_cell & lymphoma,leukemia_b_cell,lymphoma,0.90575,0,1
breast_neoplasms & hypopigmentation,breast_neoplasms,hypopigmentation,0.905269,0,1
bone_diseases_metabolic & intellectual_disability,bone_diseases_metabolic,intellectual_disability,0.905015,0,1
breast_diseases & colitis_ulcerative,breast_diseases,colitis_ulcerative,0.905011,0,1
leukemia_b_cell & rheumatic_diseases,leukemia_b_cell,rheumatic_diseases,0.904897,0,1
carcinoma_renal_cell & liver_cirrhosis,carcinoma_renal_cell,liver_cirrhosis,0.904755,0,1
carcinoma_renal_cell & liver_cirrhosis_biliary,carcinoma_renal_cell,liver_cirrhosis_biliary,0.904755,0,1
demyelinating_diseases & neoplasms_connective_and_soft_tissue,demyelinating_diseases,neoplasms_connective_and_soft_tissue,0.904195,0,1
multiple_sclerosis & neoplasms_connective_and_soft_tissue,multiple_sclerosis,neoplasms_connective_and_soft_tissue,0.904195,0,1
cholestasis & leukemia,cholestasis,leukemia,0.904184,0,1
bile_duct_diseases & spinocerebellar_ataxias,bile_duct_diseases,spinocerebellar_ataxias,0.904142,0,1
crohn_disease & neoplasms_germ_cell_and_embryonal,crohn_disease,neoplasms_germ_cell_and_embryonal,0.90414,0,1
crohn_disease & ovarian_neoplasms,crohn_disease,ovarian_neoplasms,0.90414,0,1
anemia_aplastic & macular_degeneration,anemia_aplastic,macular_degeneration,0.903939,0,1
head_and_neck_neoplasms & spondylitis_ankylosing,head_and_neck_neoplasms,spondylitis_ankylosing,0.903765,0,1
glioma & spondylarthropathies,glioma,spondylarthropathies,0.903112,0,1
arrhythmias_cardiac & carcinoma_renal_cell,arrhythmias_cardiac,carcinoma_renal_cell,0.903038,0,1
arterial_occlusive_diseases & bile_duct_diseases,arterial_occlusive_diseases,bile_duct_diseases,0.902963,0,1
arterial_occlusive_diseases & intellectual_disability,arterial_occlusive_diseases,intellectual_disability,0.902854,0,1
arrhythmias_cardiac & crohn_disease,arrhythmias_cardiac,crohn_disease,0.90273,0,1
arthritis & death_sudden,arthritis,death_sudden,0.902437,0,1
blood_coagulation_disorders & lymphatic_diseases,blood_coagulation_disorders,lymphatic_diseases,0.902286,0,1
blood_coagulation_disorders_inherited & lymphatic_diseases,blood_coagulation_disorders_inherited,lymphatic_diseases,0.902286,0,1
lipid_metabolism_disorders & lupus_erythematosus_systemic,lipid_metabolism_disorders,lupus_erythematosus_systemic,0.902246,0,1
heart_arrest & hypersensitivity,heart_arrest,hypersensitivity,0.902202,0,1
adenocarcinoma & blood_platelet_disorders,adenocarcinoma,blood_platelet_disorders,0.901897,0,1
macular_degeneration & varicose_veins,macular_degeneration,varicose_veins,0.901868,0,1
arterial_occlusive_diseases & heart_defects_congenital,arterial_occlusive_diseases,heart_defects_congenital,0.901549,0,1
anemia_aplastic & asthma,anemia_aplastic,asthma,0.901507,0,1
pancreatic_diseases & stomatognathic_diseases,pancreatic_diseases,stomatognathic_diseases,0.901455,0,1
joint_diseases & liver_cirrhosis_biliary,joint_diseases,liver_cirrhosis_biliary,0.900902,0,1
diabetes_mellitus_type_2 & spondylitis_ankylosing,diabetes_mellitus_type_2,spondylitis_ankylosing,0.900563,0,1
carcinoma_renal_cell & joint_diseases,carcinoma_renal_cell,joint_diseases,0.900398,0,1
endocrine_system_diseases & intestinal_neoplasms,endocrine_system_diseases,intestinal_neoplasms,0.900339,0,1
intestinal_neoplasms & thyroid_diseases,intestinal_neoplasms,thyroid_diseases,0.900339,0,1
carbohydrate_metabolism_inborn_errors & demyelinating_diseases,carbohydrate_metabolism_inborn_errors,demyelinating_diseases,0.900224,0,1
carbohydrate_metabolism_inborn_errors & multiple_sclerosis,carbohydrate_metabolism_inborn_errors,multiple_sclerosis,0.900224,0,1
genital_diseases_male & joint_diseases,genital_diseases_male,joint_diseases,0.899832,0,1
cholestasis & leukemia_myeloid_acute,cholestasis,leukemia_myeloid_acute,0.899745,0,1
neoplasms_connective_and_soft_tissue & varicose_veins,neoplasms_connective_and_soft_tissue,varicose_veins,0.899489,0,1
arrhythmias_cardiac & leprosy,arrhythmias_cardiac,leprosy,0.899373,0,1
diabetes_mellitus_type_2 & sleep_disorders,diabetes_mellitus_type_2,sleep_disorders,0.899126,0,1
heart_arrest & spondylarthropathies,heart_arrest,spondylarthropathies,0.899107,0,1
goiter & leprosy,goiter,leprosy,0.89886,0,1
retinitis_pigmentosa & spinal_cord_diseases,retinitis_pigmentosa,spinal_cord_diseases,0.898715,0,1
adenocarcinoma & arthritis,adenocarcinoma,arthritis,0.898665,0,1
polyneuropathies & psoriasis,polyneuropathies,psoriasis,0.898626,0,1
carcinoma_renal_cell & macular_degeneration,carcinoma_renal_cell,macular_degeneration,0.8986,0,1
colorectal_neoplasms & demyelinating_diseases,colorectal_neoplasms,demyelinating_diseases,0.898366,0,1
colorectal_neoplasms & multiple_sclerosis,colorectal_neoplasms,multiple_sclerosis,0.898366,0,1
cranial_nerve_diseases & leukemia_myeloid_acute,cranial_nerve_diseases,leukemia_myeloid_acute,0.898365,0,1
heart_arrest & osteoporosis,heart_arrest,osteoporosis,0.898056,0,1
leukemia_lymphocytic_chronic_b_cell & rheumatic_diseases,leukemia_lymphocytic_chronic_b_cell,rheumatic_diseases,0.897541,0,1
colitis_ulcerative & spinocerebellar_ataxias,colitis_ulcerative,spinocerebellar_ataxias,0.896905,0,1
lipid_metabolism_disorders & polyneuropathies,lipid_metabolism_disorders,polyneuropathies,0.896267,0,1
malabsorption_syndromes & parkinsonian_disorders,malabsorption_syndromes,parkinsonian_disorders,0.896217,0,1
adenocarcinoma & hypothalamic_diseases,adenocarcinoma,hypothalamic_diseases,0.89576,0,1
cardiomegaly & colitis_ulcerative,cardiomegaly,colitis_ulcerative,0.89563,0,1
parkinsonian_disorders & varicose_veins,parkinsonian_disorders,varicose_veins,0.895175,0,1
spondylitis_ankylosing & uveitis,spondylitis_ankylosing,uveitis,0.894719,0,1
heart_arrest & spondylitis,heart_arrest,spondylitis,0.894488,0,1
heart_arrest & lysosomal_storage_diseases,heart_arrest,lysosomal_storage_diseases,0.894299,0,1
amyotrophic_lateral_sclerosis & myocardial_infarction,amyotrophic_lateral_sclerosis,myocardial_infarction,0.894234,0,1
amyotrophic_lateral_sclerosis & myocardial_ischemia,amyotrophic_lateral_sclerosis,myocardial_ischemia,0.894234,0,1
motor_neuron_disease & myocardial_ischemia,motor_neuron_disease,myocardial_ischemia,0.894234,0,1
amyotrophic_lateral_sclerosis & coronary_artery_disease,amyotrophic_lateral_sclerosis,coronary_artery_disease,0.89422,0,1
coronary_artery_disease & motor_neuron_disease,coronary_artery_disease,motor_neuron_disease,0.89422,0,1
gout & ovarian_diseases,gout,ovarian_diseases,0.894158,0,1
goiter & vasculitis,goiter,vasculitis,0.893836,0,1
anemia & uveitis,anemia,uveitis,0.893729,0,1
liver_cirrhosis & retinitis_pigmentosa,liver_cirrhosis,retinitis_pigmentosa,0.893554,0,1
liver_cirrhosis_biliary & retinitis_pigmentosa,liver_cirrhosis_biliary,retinitis_pigmentosa,0.893554,0,1
liver_cirrhosis_biliary & spondylitis_ankylosing,liver_cirrhosis_biliary,spondylitis_ankylosing,0.893504,0,1
autoimmune_diseases & goiter,autoimmune_diseases,goiter,0.893001,0,1
head_and_neck_neoplasms & varicose_veins,head_and_neck_neoplasms,varicose_veins,0.892804,0,1
genital_diseases_female & goiter,genital_diseases_female,goiter,0.892772,0,1
basal_ganglia_diseases & pancreatic_diseases,basal_ganglia_diseases,pancreatic_diseases,0.892434,0,1
hemorrhagic_disorders & lipid_metabolism_disorders,hemorrhagic_disorders,lipid_metabolism_disorders,0.892414,0,1
celiac_disease & myocardial_ischemia,celiac_disease,myocardial_ischemia,0.892005,0,1
malabsorption_syndromes & myocardial_ischemia,malabsorption_syndromes,myocardial_ischemia,0.892005,0,1
celiac_disease & coronary_artery_disease,celiac_disease,coronary_artery_disease,0.891991,0,1
coronary_artery_disease & malabsorption_syndromes,coronary_artery_disease,malabsorption_syndromes,0.891991,0,1
arrhythmias_cardiac & neoplasms_connective_and_soft_tissue,arrhythmias_cardiac,neoplasms_connective_and_soft_tissue,0.891427,0,1
myocardial_infarction & spinocerebellar_degenerations,myocardial_infarction,spinocerebellar_degenerations,0.891285,0,1
myocardial_ischemia & spinocerebellar_degenerations,myocardial_ischemia,spinocerebellar_degenerations,0.891285,0,1
coronary_artery_disease & spinocerebellar_degenerations,coronary_artery_disease,spinocerebellar_degenerations,0.891271,0,1
anemia_hemolytic & lipid_metabolism_disorders,anemia_hemolytic,lipid_metabolism_disorders,0.891231,0,1
bone_diseases_metabolic & heart_defects_congenital,bone_diseases_metabolic,heart_defects_congenital,0.891202,0,1
esophageal_diseases & nervous_system_diseases,esophageal_diseases,nervous_system_diseases,0.890793,0,1
gastroenteritis & neoplasms_germ_cell_and_embryonal,gastroenteritis,neoplasms_germ_cell_and_embryonal,0.890646,0,1
gastroenteritis & ovarian_neoplasms,gastroenteritis,ovarian_neoplasms,0.890646,0,1
diabetes_mellitus_type_2 & intestinal_neoplasms,diabetes_mellitus_type_2,intestinal_neoplasms,0.890437,0,1
